LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION ID,REGION TYPE,REGION NAME,City,State,HOMES SOLD,HOMES SOLD YOY (%),MEDIAN SALE PRICE NSA ($),MEDIAN SALE PRICE NSA YOY (%),MEDIAN DAYS ON MARKET (DAYS),MEDIAN DAYS ON MARKET YOY (DAYS),NEW LISTINGS,NEW LISTINGS YOY (%),ACTIVE LISTINGS,ACTIVE LISTINGS YOY (%),PENDING SALES,PENDING SALES YOY (%),MEDIAN NEW LISTING PRICE PER SQ.FT. ($),MEDIAN NEW LISTING PRICE PER SQ.FT. YOY (%)
9/3/26,Rolling 3 Months,6/1/26,8/31/26,37334,City,"Absecon Highlands, NJ",Absecon Highlands,NJ,6,53.86,466691,-10.25,55,-67,6,102.65,13,9.47,9,29.63,221.86,14.97
9/3/26,Rolling 3 Months,6/1/26,8/31/26,14,City,"Absecon, NJ",Absecon,NJ,39,25.73,339775,14.4,64,13,48,-4.76,85,2.27,41,0.82,206.96,-3.73
9/3/26,Rolling 3 Months,6/1/26,8/31/26,162,City,"Allendale, NJ",Allendale,NJ,25,11.89,1216695,-11.51,58,-11,21,6.39,37,-6.53,23,10.42,457.65,-3.62
9/3/26,Rolling 3 Months,6/1/26,8/31/26,168,City,"Allenhurst, NJ",Allenhurst,NJ,1,2.57,4846792,-11.88,207,174,2,-66.23,6,-32.63,NA,NA,2502.93,80.55
9/3/26,Rolling 3 Months,6/1/26,8/31/26,177,City,"Allentown, NJ",Allentown,NJ,6,23.08,634580,9.6,11,-34,9,203.97,12,73.23,5,0.82,272.62,-5.77
9/3/26,Rolling 3 Months,6/1/26,8/31/26,21143,City,"Allenwood, NJ",Allenwood,NJ,NA,NA,NA,NA,NA,NA,2,-71.05,5,-54.07,1,-79.84,390.05,-4.83
9/3/26,Rolling 3 Months,6/1/26,8/31/26,21146,City,"Alloway, NJ",Alloway,NJ,7,259,424719,-11.05,118,40,4,35.1,12,73.23,5,68.03,317.01,89.44
9/3/26,Rolling 3 Months,6/1/26,8/31/26,262,City,"Alpha, NJ",Alpha,NJ,6,-23.07,394739,22.21,65,44,3,-24.01,7,-11.58,5,26.03,158.21,-31.61
9/3/26,Rolling 3 Months,6/1/26,8/31/26,280,City,"Alpine, NJ",Alpine,NJ,3,2.57,4497024,30.35,258,190,9,30.27,24,42.66,5,152.05,923.74,-39.96
9/3/26,Rolling 3 Months,6/1/26,8/31/26,37068,City,"Ampere North, NJ",Ampere North,NJ,8,-17.94,544640,6.27,45,-21,9,-17.1,15,-5.27,7,-11.78,360.68,20.06
9/3/26,Rolling 3 Months,6/1/26,8/31/26,31403,City,"Anderson, NJ",Anderson,NJ,NA,NA,NA,NA,NA,NA,1,1.32,2,-32.63,1,0.82,292.48,-13.57
9/3/26,Rolling 3 Months,6/1/26,8/31/26,338,City,"Andover, NJ",Andover,NJ,3,2.57,309795,-40.42,35,-16,3,51.99,6,51.57,4,101.64,235.2,-5.91
9/3/26,Rolling 3 Months,6/1/26,8/31/26,21186,City,"Annandale, NJ",Annandale,NJ,6,23.08,664510,121.5,27,12,3,1.32,7,17.89,2,101.64,323.23,37.39
9/3/26,Rolling 3 Months,6/1/26,8/31/26,501,City,"Asbury Park, NJ",Asbury Park,NJ,55,-2.83,836946,-3.69,46,2,99,16.82,178,8.44,70,-2.02,656.66,6.25
9/3/26,Rolling 3 Months,6/1/26,8/31/26,31435,City,"Asbury, NJ",Asbury,NJ,NA,NA,NA,NA,NA,NA,1,1.32,1,-74.74,NA,NA,187.06,-31.91
9/3/26,Rolling 3 Months,6/1/26,8/31/26,21220,City,"Ashland, NJ",Ashland,NJ,43,0.18,467191,4.99,37,13,39,-21.42,69,4.11,40,3.41,264.73,7.46
9/3/26,Rolling 3 Months,6/1/26,8/31/26,37139,City,"Atco, NJ",Atco,NJ,21,-17.94,370755,1.58,29,-3,28,-8.48,44,-12.82,23,-29.73,210.07,4.45
9/3/26,Rolling 3 Months,6/1/26,8/31/26,538,City,"Atlantic City, NJ",Atlantic City,NJ,104,6.8,229848,20.97,106,-5,161,-13.85,471,-5.44,127,14.44,232.43,5.5
9/3/26,Rolling 3 Months,6/1/26,8/31/26,546,City,"Atlantic Highlands, NJ",Atlantic Highlands,NJ,22,65.69,704534,-49.68,27,3,17,-28.23,29,1.05,19,59.63,511.88,8.3
